"","title","author","subject","abstract","date"
"33","efficient online learning for networks of two-compartment spiking neurons","yujia yin, xinyi chen, chenxiang ma, jibin wu, kay chen tan","neural and evolutionary computing","the brain-inspired spiking neural networks (snns) have garnered considerable research interest due to their superior performance and energy efficiency in processing temporal signals. recently, a novel multi-compartment spiking neuron model, namely the two-compartment lif (tc-lif) model, has been proposed and exhibited a remarkable capacity for sequential modelling. however, training the tc-lif model presents challenges stemming from the large memory consumption and the issue of gradient vanishing associated with the backpropagation through time (bptt) algorithm. to address these challenges, online learning methodologies emerge as a promising solution. yet, to date, the application of online learning methods in snns has been predominantly confined to simplified leaky integrate-and-fire (lif) neuron models. in this paper, we present a novel online learning method specifically tailored for networks of tc-lif neurons. additionally, we propose a refined tc-lif neuron model called adaptive tc-lif, which is carefully designed to enhance temporal information integration in online learning scenarios. extensive experiments, conducted on various sequential benchmarks, demonstrate that our approach successfully preserves the superior sequential modeling capabilities of the tc-lif neuron while incorporating the training efficiency and hardware friendliness of online learning. as a result, it offers a multitude of opportunities to leverage neuromorphic solutions for processing temporal signals.",2024-02-25
"34","truly no-regret learning in constrained mdps","adrian müller, pragnya alatur, volkan cevher, giorgia ramponi, niao he","machine learning","constrained markov decision processes (cmdps) are a common way to model safety constraints in reinforcement learning. state-of-the-art methods for efficiently solving cmdps are based on primal-dual algorithms. for these algorithms, all currently known regret bounds allow for error cancellations -- one can compensate for a constraint violation in one round with a strict constraint satisfaction in another. this makes the online learning process unsafe since it only guarantees safety for the final (mixture) policy but not during learning. as efroni et al. (2020) pointed out, it is an open question whether primal-dual algorithms can provably achieve sublinear regret if we do not allow error cancellations. in this paper, we give the first affirmative answer. we first generalize a result on last-iterate convergence of regularized primal-dual schemes to cmdps with multiple constraints. building upon this insight, we propose a model-based primal-dual algorithm to learn in an unknown cmdp. we prove that our algorithm achieves sublinear regret without error cancellations.",2024-02-24
"35","sense-then-train: a novel beam training design for near-field mimo systems","hao jiang, zhaolin wang, yuanwei liu","information theory","a novel sense-then-train (stt) scheme is proposed for beam training in near-field multiple-input multiple-output (mimo) systems. compared to conventional codebook-based schemes, the proposed stt scheme is capable of not only addressing the complex spherical-wave propagation but also effectively exploiting the additional degrees-of-freedoms (dofs). the stt scheme is tailored for both single-beam and multi-beam cases. 1) for the single-beam case, the stt scheme first utilizes a sensing phase to estimate a low-dimensional representation of the near-field mimo channel in the wavenumber domain. then, in the subsequent training phase, an online learning algorithm is proposed to obtain the optimal beam pair without predefined codebooks or training datasets. 2) for the multi-beam case, based on the single-beam stt, a gram-schmidt method is further utilized to guarantee the orthogonality between beams in the training phase. numerical results unveil that 1) the proposed stt scheme can significantly enhance the beam training performance in the near field compared to the conventional far-field codebook-based schemes, and 2) the proposed stt scheme can perform fast and low-complexity beam training, while achieving a near-optimal performance without full channel state information in both cases.",2024-02-23
"36","optimistic information directed sampling","gergely neu, matteo papini, ludovic schwartz","machine learning","we study the problem of online learning in contextual bandit problems where the loss function is assumed to belong to a known parametric function class. we propose a new analytic framework for this setting that bridges the bayesian theory of information-directed sampling due to russo and van roy (2018) and the worst-case theory of foster, kakade, qian, and rakhlin (2021) based on the decision-estimation coefficient. drawing from both lines of work, we propose a algorithmic template called optimistic information-directed sampling and show that it can achieve instance-dependent regret guarantees similar to the ones achievable by the classic bayesian ids method, but with the major advantage of not requiring any bayesian assumptions. the key technical innovation of our analysis is introducing an optimistic surrogate model for the regret and using it to define a frequentist version of the information ratio of russo and van roy (2018), and a less conservative version of the decision estimation coefficient of foster et al. (2021). keywords: contextual bandits, information-directed sampling, decision estimation coefficient, first-order regret bounds.",2024-02-23
"37","on the performance of empirical risk minimization with smoothed data","adam block, alexander rakhlin, abhishek shetty","machine learning","in order to circumvent statistical and computational hardness results in sequential decision-making, recent work has considered smoothed online learning, where the distribution of data at each time is assumed to have bounded likeliehood ratio with respect to a base measure when conditioned on the history. while previous works have demonstrated the benefits of smoothness, they have either assumed that the base measure is known to the learner or have presented computationally inefficient algorithms applying only in special cases. this work investigates the more general setting where the base measure is \emph{unknown} to the learner, focusing in particular on the performance of empirical risk minimization (erm) with square loss when the data are well-specified and smooth. we show that in this setting, erm is able to achieve sublinear error whenever a class is learnable with iid data; in particular, erm achieves error scaling as $\tilde o( \sqrt{\mathrm{comp}(\mathcal f)\cdot t} )$, where $\mathrm{comp}(\mathcal f)$ is the statistical complexity of learning $\mathcal f$ with iid data. in so doing, we prove a novel norm comparison bound for smoothed data that comprises the first sharp norm comparison for dependent data applying to arbitrary, nonlinear function classes. we complement these results with a lower bound indicating that our analysis of erm is essentially tight, establishing a separation in the performance of erm between smoothed and iid data.",2024-02-22
"38","adaptive time series forecasting with markovian variance switching","baptiste abélès, joseph de vilmarest, olivier wintemberger","machine learning","adaptive time series forecasting is essential for prediction under regime changes. several classical methods assume linear gaussian state space model (lgssm) with variances constant in time. however, there are many real-world processes that cannot be captured by such models. we consider a state-space model with markov switching variances. such dynamical systems are usually intractable because of their computational complexity increasing exponentially with time; variational bayes (vb) techniques have been applied to this problem. in this paper, we propose a new way of estimating variances based on online learning theory; we adapt expert aggregation methods to learn the variances over time. we apply the proposed method to synthetic data and to the problem of electricity load forecasting. we show that this method is robust to misspecification and outperforms traditional expert aggregation.",2024-02-22
"39","learning style identification using semi-supervised self-taught labeling","hani y. ayyoub, omar s. al-kadi","computers and society","education is a dynamic field that must be adaptable to sudden changes and disruptions caused by events like pandemics, war, and natural disasters related to climate change. when these events occur, traditional classrooms with traditional or blended delivery can shift to fully online learning, which requires an efficient learning environment that meets students' needs. while learning management systems support teachers' productivity and creativity, they typically provide the same content to all learners in a course, ignoring their unique learning styles. to address this issue, we propose a semi-supervised machine learning approach that detects students' learning styles using a data mining technique. we use the commonly used felder silverman learning style model and demonstrate that our semi-supervised method can produce reliable classification models with few labeled data. we evaluate our approach on two different courses and achieve an accuracy of 88.83% and 77.35%, respectively. our work shows that educational data mining and semi-supervised machine learning techniques can identify different learning styles and create a personalized learning environment.",2024-02-04
"40","the dimension of self-directed learning","pramith devulapalli, steve hanneke","machine learning","understanding the self-directed learning complexity has been an important problem that has captured the attention of the online learning theory community since the early 1990s. within this framework, the learner is allowed to adaptively choose its next data point in making predictions unlike the setting in adversarial online learning.
in this paper, we study the self-directed learning complexity in both the binary and multi-class settings, and we develop a dimension, namely $sddim$, that exactly characterizes the self-directed learning mistake-bound for any concept class. the intuition behind $sddim$ can be understood as a two-player game called the ""labelling game"". armed with this two-player game, we calculate $sddim$ on a whole host of examples with notable results on axis-aligned rectangles, vc dimension $1$ classes, and linear separators. we demonstrate several learnability gaps with a central focus on self-directed learning and offline sequence learning models that include either the best or worst ordering. finally, we extend our analysis to the self-directed binary agnostic setting where we derive upper and lower bounds.",2024-02-20
"41","fog enabled distributed training architecture for federated learning","aditya kumar, satish narayana srirama","distributed, parallel, and cluster computing","the amount of data being produced at every epoch of second is increasing every moment. various sensors, cameras and smart gadgets produce continuous data throughout its installation. processing and analyzing raw data at a cloud server faces several challenges such as bandwidth, congestion, latency, privacy and security. fog computing brings computational resources closer to iot that addresses some of these issues. these iot devices have low computational capability, which is insufficient to train machine learning. mining hidden patterns and inferential rules from continuously growing data is crucial for various applications. due to growing privacy concerns, privacy preserving machine learning is another aspect that needs to be inculcated. in this paper, we have proposed a fog enabled distributed training architecture for machine learning tasks using resources constrained devices. the proposed architecture trains machine learning model on rapidly changing data using online learning. the network is inlined with privacy preserving federated learning training. further, the learning capability of architecture is tested on a real world iiot use case. we trained a neural network model for human position detection in iiot setup on rapidly changing data.",2024-02-20
"42","automated security response through online learning with adaptive conjectures","kim hammar, tao li, rolf stadler, quanyan zhu","computer science and game theory","we study automated security response for an it infrastructure and formulate the interaction between an attacker and a defender as a partially observed, non-stationary game. we relax the standard assumption that the game model is correctly specified and consider that each player has a probabilistic conjecture about the model, which may be misspecified in the sense that the true model has probability 0. this formulation allows us to capture uncertainty about the infrastructure and the intents of the players. to learn effective game strategies online, we design a novel method where a player iteratively adapts its conjecture using bayesian learning and updates its strategy through rollout. we prove that the conjectures converge to best fits, and we provide a bound on the performance improvement that rollout enables with a conjectured model. to characterize the steady state of the game, we propose a variant of the berk-nash equilibrium. we present our method through an advanced persistent threat use case. simulation studies based on testbed measurements show that our method produces effective security strategies that adapt to a changing environment. we also find that our method enables faster convergence than current reinforcement learning techniques.",2024-02-19
"43","neuro-mimetic task-free unsupervised online learning with continual self-organizing maps","hitesh vaidya, travis desell, ankur mali, alexander ororbia","machine learning","an intelligent system capable of continual learning is one that can process and extract knowledge from potentially infinitely long streams of pattern vectors. the major challenge that makes crafting such a system difficult is known as catastrophic forgetting - an agent, such as one based on artificial neural networks (anns), struggles to retain previously acquired knowledge when learning from new samples. furthermore, ensuring that knowledge is preserved for previous tasks becomes more challenging when input is not supplemented with task boundary information. although forgetting in the context of anns has been studied extensively, there still exists far less work investigating it in terms of unsupervised architectures such as the venerable self-organizing map (som), a neural model often used in clustering and dimensionality reduction. while the internal mechanisms of soms could, in principle, yield sparse representations that improve memory retention, we observe that, when a fixed-size som processes continuous data streams, it experiences concept drift. in light of this, we propose a generalization of the som, the continual som (csom), which is capable of online unsupervised learning under a low memory budget. our results, on benchmarks including mnist, kuzushiji-mnist, and fashion-mnist, show almost a two times increase in accuracy, and cifar-10 demonstrates a state-of-the-art result when tested on (online) unsupervised class incremental learning setting.",2024-02-19
"44","dynamic environment responsive online meta-learning with fairness awareness","chen zhao, feng mi, xintao wu, kai jiang, latifur khan, feng chen","machine learning","the fairness-aware online learning framework has emerged as a potent tool within the context of continuous lifelong learning. in this scenario, the learner's objective is to progressively acquire new tasks as they arrive over time, while also guaranteeing statistical parity among various protected sub-populations, such as race and gender, when it comes to the newly introduced tasks. a significant limitation of current approaches lies in their heavy reliance on the i.i.d (independent and identically distributed) assumption concerning data, leading to a static regret analysis of the framework. nevertheless, it's crucial to note that achieving low static regret does not necessarily translate to strong performance in dynamic environments characterized by tasks sampled from diverse distributions. in this paper, to tackle the fairness-aware online learning challenge in evolving settings, we introduce a unique regret measure, fairsar, by incorporating long-term fairness constraints into a strongly adapted loss regret framework. moreover, to determine an optimal model parameter at each time step, we introduce an innovative adaptive fairness-aware online meta-learning algorithm, referred to as fairsaoml. this algorithm possesses the ability to adjust to dynamic environments by effectively managing bias control and model accuracy. the problem is framed as a bi-level convex-concave optimization, considering both the model's primal and dual parameters, which pertain to its accuracy and fairness attributes, respectively. theoretical analysis yields sub-linear upper bounds for both loss regret and the cumulative violation of fairness constraints. our experimental evaluation on various real-world datasets in dynamic environments demonstrates that our proposed fairsaoml algorithm consistently outperforms alternative approaches rooted in the most advanced prior online learning methods.",2024-02-19
"45","learning to defer in content moderation: the human-ai interplay","thodoris lykouris, wentao weng","machine learning","successful content moderation in online platforms relies on a human-ai collaboration approach. a typical heuristic estimates the expected harmfulness of a post and uses fixed thresholds to decide whether to remove it and whether to send it for human review. this disregards the prediction uncertainty, the time-varying element of human review capacity and post arrivals, and the selective sampling in the dataset (humans only review posts filtered by the admission algorithm).
in this paper, we introduce a model to capture the human-ai interplay in content moderation. the algorithm observes contextual information for incoming posts, makes classification and admission decisions, and schedules posts for human review. only admitted posts receive human reviews on their harmfulness. these reviews help educate the machine-learning algorithms but are delayed due to congestion in the human review system. the classical learning-theoretic way to capture this human-ai interplay is via the framework of learning to defer, where the algorithm has the option to defer a classification task to humans for a fixed cost and immediately receive feedback. our model contributes to this literature by introducing congestion in the human review system. moreover, unlike work on online learning with delayed feedback where the delay in the feedback is exogenous to the algorithm's decisions, the delay in our model is endogenous to both the admission and the scheduling decisions.
we propose a near-optimal learning algorithm that carefully balances the classification loss from a selectively sampled dataset, the idiosyncratic loss of non-reviewed posts, and the delay loss of having congestion in the human review system. to the best of our knowledge, this is the first result for online learning in contextual queueing systems and hence our analytical framework may be of independent interest.",2024-02-19
"46","simplifying hyperparameter tuning in online machine learning -- the spotrivergui","thomas bartz-beielstein","machine learning","batch machine learning (bml) reaches its limits when dealing with very large amounts of streaming data. this is especially true for available memory, handling drift in data streams, and processing new, unknown data. online machine learning (oml) is an alternative to bml that overcomes the limitations of bml. oml is able to process data in a sequential manner, which is especially useful for data streams. the `river` package is a python oml-library, which provides a variety of online learning algorithms for classification, regression, clustering, anomaly detection, and more. the `spotriver` package provides a framework for hyperparameter tuning of oml models. the `spotrivergui` is a graphical user interface for the `spotriver` package. the `spotrivergui` releases the user from the burden of manually searching for the optimal hyperparameter setting. after the data is provided, users can compare different oml algorithms from the powerful `river` package in a convenient way and tune the selected algorithms very efficiently.",2024-02-18
"47","adaptive decision-making for autonomous vehicles: a learning-enhanced game-theoretic approach in interactive environments","heye huang, jinxin liu, guanya shi, shiyue zhao, boqi li, jianqiang wang","multiagent systems","this paper proposes an adaptive behavioral decision-making method for autonomous vehicles (avs) focusing on complex merging scenarios. leveraging principles from non-cooperative game theory, we develop a vehicle interaction behavior model that defines key traffic elements and integrates a multifactorial reward function. maximum entropy inverse reinforcement learning (irl) is employed for behavior model parameter optimization. optimal matching parameters can be obtained using the interaction behavior feature vector and the behavior probabilities output by the vehicle interaction model. further, a behavioral decision-making method adapted to dynamic environments is proposed. by establishing a mapping model between multiple environmental variables and model parameters, it enables parameters online learning and recognition, and achieves to output interactive behavior probabilities of avs. quantitative analysis employing naturalistic driving datasets (highd and exid) and real-vehicle test data validates the model's high consistency with human decision-making. in 188 tested interaction scenarios, the average human-like similarity rate is 81.73%, with a notable 83.12% in the highd dataset. furthermore, in 145 dynamic interactions, the method matches human decisions at 77.12%, with 6913 consistence instances. moreover, in real-vehicle tests, a 72.73% similarity with 0% safety violations are obtained. results demonstrate the effectiveness of our proposed method in enabling avs to make informed adaptive behavior decisions in interactive environments.",2024-02-18
"48","fair resource allocation in virtualized o-ran platforms","fatih aslan, george iosifidis, jose a. ayala-romero, andres garcia-saavedra, xavier costa-perez","networking and internet architecture","o-ran systems and their deployment in virtualized general-purpose computing platforms (o-cloud) constitute a paradigm shift expected to bring unprecedented performance gains. however, these architectures raise new implementation challenges and threaten to worsen the already-high energy consumption of mobile networks. this paper presents first a series of experiments which assess the o-cloud's energy costs and their dependency on the servers' hardware, capacity and data traffic properties which, typically, change over time. next, it proposes a compute policy for assigning the base station data loads to o-cloud servers in an energy-efficient fashion; and a radio policy that determines at near-real-time the minimum transmission block size for each user so as to avoid unnecessary energy costs. the policies balance energy savings with performance, and ensure that both of them are dispersed fairly across the servers and users, respectively. to cater for the unknown and time-varying parameters affecting the policies, we develop a novel online learning framework with fairness guarantees that apply to the entire operation horizon of the system (long-term fairness). the policies are evaluated using trace-driven simulations and are fully implemented in an o-ran compatible system where we measure the energy costs and throughput in realistic scenarios.",2024-02-17
"49","private pac learning may be harder than online learning","mark bun, aloni cohen, rathin desai","machine learning","we continue the study of the computational complexity of differentially private pac learning and how it is situated within the foundations of machine learning. a recent line of work uncovered a qualitative equivalence between the private pac model and littlestone's mistake-bounded model of online learning, in particular, showing that any concept class of littlestone dimension $d$ can be privately pac learned using $\mathrm{poly}(d)$ samples. this raises the natural question of whether there might be a generic conversion from online learners to private pac learners that also preserves computational efficiency.
we give a negative answer to this question under reasonable cryptographic assumptions (roughly, those from which it is possible to build indistinguishability obfuscation for all circuits). we exhibit a concept class that admits an online learner running in polynomial time with a polynomial mistake bound, but for which there is no computationally-efficient differentially private pac learner. our construction and analysis strengthens and generalizes that of bun and zhandry (tcc 2016-a), who established such a separation between private and non-private pac learner.",2024-02-16
"50","on the discrete-time origins of the replicator dynamics: from convergence to instability and chaos","fryderyk falniowski, panayotis mertikopoulos","dynamical systems","we consider three distinct discrete-time models of learning and evolution in games: a biological model based on intra-species selective pressure, the dynamics induced by pairwise proportional imitation, and the exponential / multiplicative weights (ew) algorithm for online learning. even though these models share the same continuous-time limit - the replicator dynamics - we show that second-order effects play a crucial role and may lead to drastically different behaviors in each model, even in very simple, symmetric $2\times2$ games. specifically, we study the resulting discrete-time dynamics in a class of parametrized congestion games, and we show that (i) in the biological model of intra-species competition, the dynamics remain convergent for any parameter value; (ii) the dynamics of pairwise proportional imitation exhibit an entire range of behaviors for larger time steps and different equilibrium configurations (stability, instability, and even li-yorke chaos); while (iii) in the ew algorithm, increasing the time step (almost) inevitably leads to chaos (again, in the formal, li-yorke sense). this divergence of behaviors comes in stark contrast to the globally convergent behavior of the replicator dynamics, and serves to delineate the extent to which the replicator dynamics provide a useful predictor for the long-run behavior of their discrete-time origins.",2024-02-15
"51","online foundation model selection in robotics","po-han li, oyku selin toprak, aditya narayanan, ufuk topcu, sandeep chinchali","robotics","foundation models have recently expanded into robotics after excelling in computer vision and natural language processing. the models are accessible in two ways: open-source or paid, closed-source options. users with access to both face a problem when deciding between effective yet costly closed-source models and free but less powerful open-source alternatives. we call it the model selection problem. existing supervised-learning methods are impractical due to the high cost of collecting extensive training data from closed-source models. hence, we focus on the online learning setting where algorithms learn while collecting data, eliminating the need for large pre-collected datasets. we thus formulate a user-centric online model selection problem and propose a novel solution that combines an open-source encoder to output context and an online learning algorithm that processes this context. the encoder distills vast data distributions into low-dimensional features, i.e., the context, without additional training. the online learning algorithm aims to maximize a composite reward that includes model performance, execution time, and costs based on the context extracted from the data. it results in an improved trade-off between selecting open-source and closed-source models compared to non-contextual methods, as validated by our theoretical analysis. experiments across language-based robotic tasks such as waymo open dataset, alfred, and open x-embodiment demonstrate real-world applications of the solution. the results show that the solution significantly improves the task success rate by up to 14%.",2024-02-13
"52","regional adaptive metropolis light transport","hisanari otsu, killian herveau, johannes hanika, derek nowrouzezahrai, carsten dachsbacher","graphics","the design of the proposal distributions, and most notably the kernel parameters, are crucial for the performance of markov chain monte carlo (mcmc) rendering. a poor selection of parameters can increase the correlation of the markov chain and result in bad rendering performance. we approach this problem by a novel path perturbation strategy for online-learning of state-dependent kernel parameters. we base our approach on the theoretical framework of regional adaptive mcmc which enables the adaptation of parameters depending on the region of the state space which contains the current sample, and on information collected from previous samples. for this, we define a partitioning of the path space on a low-dimensional canonical space to capture the characteristics of paths, with a focus on path segments closer to the sensor. fast convergence is achieved by adaptive refinement of the partitions. exemplarily, we present two novel regional adaptive path perturbation techniques akin to lens and multi-chain perturbations. our approach can easily be used on top of existing path space mlt methods to improve rendering efficiency, while being agnostic to the initial choice of kernel parameters.",2024-02-13
"53","group decision-making among privacy-aware agents","marios papachristou, m. amin rahimian","machine learning","how can individuals exchange information to learn from each other despite their privacy needs and security concerns? for example, consider individuals deliberating a contentious topic and being concerned about divulging their private experiences. preserving individual privacy and enabling efficient social learning are both important desiderata but seem fundamentally at odds with each other and very hard to reconcile. we do so by controlling information leakage using rigorous statistical guarantees that are based on differential privacy (dp). our agents use log-linear rules to update their beliefs after communicating with their neighbors. adding dp randomization noise to beliefs provides communicating agents with plausible deniability with regard to their private information and their network neighborhoods. we consider two learning environments one for distributed maximum-likelihood estimation given a finite number of private signals and another for online learning from an infinite, intermittent signal stream. noisy information aggregation in the finite case leads to interesting tradeoffs between rejecting low-quality states and making sure all high-quality states are accepted in the algorithm output. our results flesh out the nature of the trade-offs in both cases between the quality of the group decision outcomes, learning accuracy, communication cost, and the level of privacy protections that the agents are afforded.",2024-02-13
"54","on the resurgence of recurrent models for long sequences -- survey and research opportunities in the transformer era","matteo tiezzi, michele casoni, alessandro betti, tommaso guidi, marco gori, stefano melacci","machine learning","a longstanding challenge for the machine learning community is the one of developing models that are capable of processing and learning from very long sequences of data. the outstanding results of transformers-based networks (e.g., large language models) promotes the idea of parallel attention as the key to succeed in such a challenge, obfuscating the role of classic sequential processing of recurrent models. however, in the last few years, researchers who were concerned by the quadratic complexity of self-attention have been proposing a novel wave of neural models, which gets the best from the two worlds, i.e., transformers and recurrent nets. meanwhile, deep space-state models emerged as robust approaches to function approximation over time, thus opening a new perspective in learning from sequential data, followed by many people in the field and exploited to implement a special class of (linear) recurrent neural networks. this survey is aimed at providing an overview of these trends framed under the unifying umbrella of recurrence. moreover, it emphasizes novel research opportunities that become prominent when abandoning the idea of processing long sequences whose length is known-in-advance for the more realistic setting of potentially infinite-length sequences, thus intersecting the field of lifelong-online learning from streamed data.",2024-02-12
"55","efficient contextual bandits with uninformed feedback graphs","mengxiao zhang, yuheng zhang, haipeng luo, paul mineiro","machine learning","bandits with feedback graphs are powerful online learning models that interpolate between the full information and classic bandit problems, capturing many real-life applications. a recent work by zhang et al. (2023) studies the contextual version of this problem and proposes an efficient and optimal algorithm via a reduction to online regression. however, their algorithm crucially relies on seeing the feedback graph before making each decision, while in many applications, the feedback graph is uninformed, meaning that it is either only revealed after the learner makes her decision or even never fully revealed at all. this work develops the first contextual algorithm for such uninformed settings, via an efficient reduction to online regression over both the losses and the graphs. importantly, we show that it is critical to learn the graphs using log loss instead of squared loss to obtain favorable regret guarantees. we also demonstrate the empirical effectiveness of our algorithm on a bidding application using both synthetic and real-world data.",2024-02-12
"56","qacp: an annotated question answering dataset for assisting chinese python programming learners","rui xiao, lu han, xiaoying zhou, jiong wang, na zong, pengyu zhang","computation and language","in online learning platforms, particularly in rapidly growing computer programming courses, addressing the thousands of students' learning queries requires considerable human cost. the creation of intelligent assistant large language models (llms) tailored for programming education necessitates distinct data support. however, in real application scenarios, the data resources for training such llms are relatively scarce. therefore, to address the data scarcity in intelligent educational systems for programming, this paper proposes a new chinese question-and-answer dataset for python learners. to ensure the authenticity and reliability of the sources of the questions, we collected questions from actual student questions and categorized them according to various dimensions such as the type of questions and the type of learners. this annotation principle is designed to enhance the effectiveness and quality of online programming education, providing a solid data foundation for developing the programming teaching assists (ta). furthermore, we conducted comprehensive evaluations of various llms proficient in processing and generating chinese content, highlighting the potential limitations of general llms as intelligent teaching assistants in computer programming courses.",2024-01-30
"57","on the distance from calibration in sequential prediction","mingda qiao, letian zheng","machine learning","we study a sequential binary prediction setting where the forecaster is evaluated in terms of the calibration distance, which is defined as the $l_1$ distance between the predicted values and the set of predictions that are perfectly calibrated in hindsight. this is analogous to a calibration measure recently proposed by błasiok, gopalan, hu and nakkiran (stoc 2023) for the offline setting. the calibration distance is a natural and intuitive measure of deviation from perfect calibration, and satisfies a lipschitz continuity property which does not hold for many popular calibration measures, such as the $l_1$ calibration error and its variants.
we prove that there is a forecasting algorithm that achieves an $o(\sqrt{t})$ calibration distance in expectation on an adversarially chosen sequence of $t$ binary outcomes. at the core of this upper bound is a structural result showing that the calibration distance is accurately approximated by the lower calibration distance, which is a continuous relaxation of the former. we then show that an $o(\sqrt{t})$ lower calibration distance can be achieved via a simple minimax argument and a reduction to online learning on a lipschitz class.
on the lower bound side, an $\omega(t^{1/3})$ calibration distance is shown to be unavoidable, even when the adversary outputs a sequence of independent random bits, and has an additional ability to early stop (i.e., to stop producing random bits and output the same bit in the remaining steps). interestingly, without this early stopping, the forecaster can achieve a much smaller calibration distance of $\mathrm{polylog}(t)$.",2024-02-12
"58","noise-adaptive confidence sets for linear bandits and application to bayesian optimization","kwang-sung jun, jungtaek kim","machine learning","adapting to a priori unknown noise level is a very important but challenging problem in sequential decision-making as efficient exploration typically requires knowledge of the noise level, which is often loosely specified. we report significant progress in addressing this issue in linear bandits in two respects. first, we propose a novel confidence set that is `semi-adaptive' to the unknown sub-gaussian parameter $\sigma_*^2$ in the sense that the (normalized) confidence width scales with $\sqrt{d\sigma_*^2 + \sigma_0^2}$ where $d$ is the dimension and $\sigma_0^2$ is the specified sub-gaussian parameter (known) that can be much larger than $\sigma_*^2$. this is a significant improvement over $\sqrt{d\sigma_0^2}$ of the standard confidence set of abbasi-yadkori et al. (2011), especially when $d$ is large. we show that this leads to an improved regret bound in linear bandits. second, for bounded rewards, we propose a novel variance-adaptive confidence set that has a much improved numerical performance upon prior art. we then apply this confidence set to develop, as we claim, the first practical variance-adaptive linear bandit algorithm via an optimistic approach, which is enabled by our novel regret analysis technique. both of our confidence sets rely critically on `regret equality' from online learning. our empirical evaluation in bayesian optimization tasks shows that our algorithms demonstrate better or comparable performance compared to existing methods.",2024-02-12
"59","a theoretical analysis of nash learning from human feedback under general kl-regularized preference","chenlu ye, wei xiong, yuheng zhang, nan jiang, tong zhang","machine learning","reinforcement learning from human feedback (rlhf) learns from the preference signal provided by a probabilistic preference model, which takes a prompt and two responses as input, and produces a score indicating the preference of one response against another. so far, the most popular rlhf paradigm is reward-based, which starts with an initial step of reward modeling, and the constructed reward is then used to provide a reward signal for the subsequent reward optimization stage. however, the existence of a reward function is a strong assumption and the reward-based rlhf is limited in expressivity and cannot capture the real-world complicated human preference.
in this work, we provide theoretical insights for a recently proposed learning paradigm, nash learning from human feedback (nlhf), which considered a general preference model and formulated the alignment process as a game between two competitive llms. the learning objective is to find a policy that consistently generates responses preferred over any competing policy while staying close to the initial model. the objective is defined as the nash equilibrium (ne) of the kl-regularized preference model. we aim to make the first attempt to study the theoretical learnability of the kl-regularized nlhf by considering both offline and online settings. for the offline learning from a pre-collected dataset, we propose algorithms that are efficient under suitable coverage conditions of the dataset. for batch online learning from iterative interactions with a preference oracle, our proposed algorithm enjoys a finite sample guarantee under the structural condition of the underlying preference model. our results connect the new nlhf paradigm with traditional rl theory, and validate the potential of reward-model-free learning under general preference.",2024-02-11
"60","decoupling learning and decision-making: breaking the $\mathcal{o}(\sqrt{t})$ barrier in online resource allocation with first-order methods","wenzhi gao, chunlin sun, chenyu xue, dongdong ge, yinyu ye","machine learning","online linear programming plays an important role in both revenue management and resource allocation, and recent research has focused on developing efficient first-order online learning algorithms. despite the empirical success of first-order methods, they typically achieve a regret no better than $\mathcal{o}(\sqrt{t})$, which is suboptimal compared to the $\mathcal{o}(\log t)$ bound guaranteed by the state-of-the-art linear programming (lp)-based online algorithms. this paper establishes several important facts about online linear programming, which unveils the challenge for first-order-method-based online algorithms to achieve beyond $\mathcal{o}(\sqrt{t})$ regret. to address the challenge, we introduce a new algorithmic framework that decouples learning from decision-making. more importantly, for the first time, we show that first-order methods can attain regret $\mathcal{o}(t^{1/3})$ with this new framework. lastly, we conduct numerical experiments to validate our theoretical findings.",2024-02-11
"61","designing problems for improved instruction and learning -- linear algebra","ryan h. allaire, margaret reynolds, andrew c. lee","history and overview","one of the grand challenges of mathematics instruction is to provide students with problems that are both accessible and have a reasonably elegant solution. instructors commonly resort to resources like course textbooks, online-learning platforms, or other automated problem-generating software to select problems for exams and assignments. however, reliance on such tools may result in limited control over problem parameters, potentially yielding intricate solutions that impede students' understanding. this article centers on linear algebra, wherein we devise algorithms for reverse engineering matrices of integers with integer outcomes through operations such as the inverse, lu decomposition, and qr decomposition. the focus is on empowering instructors to manipulate matrix properties deliberately, ensuring the creation of problems that enrich instruction and foster student confidence. the intellectual endeavor of reverse engineering such problems, grounded in both theory and matrix properties, proves mutually beneficial for both students and instructors alike.",2024-02-02
"62","limitations of agents simulated by predictive models","raymond douglas, jacek karwowski, chan bae, andis draguns, victoria krakovna","artificial intelligence","there is increasing focus on adapting predictive models into agent-like systems, most notably ai assistants based on language models. we outline two structural reasons for why these models can fail when turned into agents. first, we discuss auto-suggestive delusions. prior work has shown theoretically that models fail to imitate agents that generated the training data if the agents relied on hidden observations: the hidden observations act as confounding variables, and the models treat actions they generate as evidence for nonexistent observations. second, we introduce and formally study a related, novel limitation: predictor-policy incoherence. when a model generates a sequence of actions, the model's implicit prediction of the policy that generated those actions can serve as a confounding variable. the result is that models choose actions as if they expect future actions to be suboptimal, causing them to be overly conservative. we show that both of those failures are fixed by including a feedback loop from the environment, that is, re-training the models on their own actions. we give simple demonstrations of both limitations using decision transformers and confirm that empirical results agree with our conceptual and formal analysis. our treatment provides a unifying view of those failure modes, and informs the question of why fine-tuning offline learned policies with online learning makes them more effective.",2024-02-08
